name,address,wifi
沖縄居酒屋 轟屋 ゴウヤ 大阪梅田店,大阪府大阪市北区堂山町１－２１,未確認
沖縄居酒家 すん。,沖縄県那覇市牧志３－１－３９,なし
和琉炭焼 石庭,沖縄県那覇市松山２－１－１８　住太郎ビル２F,なし
てぃーち2 T-CHI2 国際通り店,沖縄県那覇市牧志２－４－５,あり
しだ風,東京都港区芝５-20-20 B1F,なし
しか枡屋,沖縄県那覇市久茂地２－６－１　コーポカミハマビル１F,あり
沖縄居酒屋 昭和村,沖縄県那覇市牧志３-1-20　2階,あり
ちゅらちゅら 那覇国際通り店,沖縄県那覇市松尾１-4-10　ホテル国際プラザ２F,あり
SLOWLIFE スローライフ cafe&bar,沖縄県宜野湾市宇地泊616　２Ｆ,あり
串と魚と酒 なると家,沖縄県沖縄市大里１－１８－５０,あり
島人の宝,北海道札幌市中央区北３条西２カミヤマビルB1 ,未確認
わらゆい 国際通り,沖縄県那覇市牧志２-3-1-2F,あり
島唄ライブ居酒屋 結歌,沖縄県那覇市牧志１-2-1　花ビル3F,あり
ステーキ&グリル パイレーツ,沖縄県那覇市牧志２－６－２　PIER88ビル　２F,あり
海鮮 和牛居酒屋 強者 久茂地店,沖縄県那覇市久茂地２-12-1,あり
琉球坊主 立川北口店,東京都立川市緑町4-5　コトブキヤビル１F　104,あり
カジュアルスペイン酒場 オレンジ ブーム Bayside kitchen ORANGE BOOM,沖縄県中頭郡北谷町美浜51-3　フェリシダーデ内 1F,あり
炭火屋 居酒屋 しゃらく,沖縄県那覇市おもろまち４－７－２６　Kudaおもろまちビル１F１０１号,あり
GOONIES グーニーズ,大阪府大阪市大正区三軒家東１丁目-8-28,あり
狸の気ばらし,北海道札幌市厚別区厚別中央３条５－２－１２,なし
ジパング Zipang 久茂地店,沖縄県那覇市久茂地３－９－１１　アーバンビル１F,未確認
安安 ラウンドワン宜野湾店,沖縄県宜野湾市真志喜３-28-8　ラウンドワンスタジアム宜野湾店１F,なし
外食家 くじら 読谷店,沖縄県中頭郡読谷村瀬名波949,あり
大衆ワインビストロ エガリテ,沖縄県那覇市牧志１-4-33　２A ,あり
